docid,url
0,"https://www.ntv.com.tr/saglik/dsonun-covid-19-raporu-virusun-kaynagi-buyuk-olasilikla-baska-hayvanlar,SooEoPITyE6FooGkKyURUQ"
1,https://www.sabah.com.tr/galeri/teknoloji/koronavirusunun-kovid-19-kaynagi-ne-hayvan-ne-de-laboratuvar-dusunulenden-daha-farkli
2,https://www.amerikaninsesi.com/a/pandeminin-kaynagi-yeniden-arastirilsin-/5845867.html
3,https://www.hurriyet.com.tr/dunya/covid-19un-kaynagi-laboratuvar-sizintisi-komplo-teorisi-deniyordu-ciddi-bir-ihtimale-donustu-41819668
4,https://www.aa.com.tr/tr/koronavirus/dso-kovid-19un-kaynagi-bir-hayvan-laboratuvar-degil/1813169
5,https://www.trthaber.com/haber/dunya/dsonun-covid-19-rapor-taslagi-virusun-kaynagi-muhtemelen-hayvanlar-568360.html
6,https://www.dw.com/tr/alman-virologdan-koronavir%C3%BCs%C3%BCn-kayna%C4%9F%C4%B1na-dair-a%C3%A7%C4%B1klama/a-57794003
7,https://tr.wikipedia.org/wiki/COVID-19
8,https://www.bbc.com/turkce/haberler-dunya-51624167
9,https://tr.euronews.com/2021/06/09/covid-19-un-kaynag-cin-deki-mojiang-madeni-mi-virusun-bulast-g-6-isci-hakk-nda-ne-biliyoru
10,https://www.ntv.com.tr/corona-virus
11,"https://www.ntv.com.tr/saglik/dsoden-wuhandaki-ilk-covid-19-vakalariyla-ilgili-yeniaciklama-aciklanandan-yuzde-500-daha-fazla,0465hSlISE2GQKeTqgE8nw"
12,"https://www.ntv.com.tr/saglik/pfizerdan-delta-varyanti-aciklamasi,J1x9RAfHFEKmMvHa5XNrCw"
13,"https://www.ntv.com.tr/saglik/asi-karsitiydi-coronadan-hayatini-kaybetti-zamani-geri-cevirebilse-asi-olurdu,-Dca_f0N4kaX9IKAwKGFcA"
14,"https://www.ntv.com.tr/dunya/cine-giden-dso-uzmani-vuhanda-aralik-2019daki-salginin-boyutu-dusunulenden-daha-buyuk,RfbKprPoqE2ScauzUJSkEg"
15,"https://www.ntv.com.tr/saglik/arastirma-sinovac-asisinin-ucuncu-dozu-etkili-mi,TsNV26IcoE2YIqc4w609_A"
16,"https://www.ntv.com.tr/saglik/asi-randevusu-nasil-alinir-mhrs-ve-alo-182-ile-asi-randevusu-alma-islemi,U2maJQdZ4Em-aYULcsN_Zw"
17,"https://www.ntv.com.tr/saglik/ugur-sahinden-ucuncu-doz-aciklamasi,9owLjZILaEmqqbvcQrREtQ"
18,"https://www.ntv.com.tr/saglik/kara-mantar-hastaligi-nedir-nasil-bulasir-kara-mantar-hastaliginin-belirtileri-nelerdir,upPILz3zHUa3jYo1ut0vHw"
19,https://www.sabah.com.tr/haberleri/virus
20,https://www.sabah.com.tr/corona-virusu
21,https://www.amerikaninsesi.com/Sa%C4%9Fl%C4%B1k
22,https://www.amerikaninsesi.com/p/7540.html
23,https://www.amerikaninsesi.com/z/6303
24,https://www.amerikaninsesi.com/a/veriler-who-mufettislerinden-saklandi/5834206.html
25,https://www.hurriyet.com.tr/dunya/son-dakika-haberler-vuhan-dosyasi-kapanmiyor-biden-raporu-90-gun-icinde-hazir-istedi-41819410
26,https://www.hurriyet.com.tr/corona-virusu/
27,https://www.hurriyet.com.tr/haberleri/covid-19
28,https://www.hurriyet.com.tr/dunya/biontech-ceosu-ugur-sahinden-flas-delta-varyanti-ve-ucuncu-doz-asi-aciklamasi-41859877
29,https://www.hurriyet.com.tr/dunya/ingilterede-vaka-sayilari-subattan-bu-yana-ilk-kez-5-gun-ust-uste-dusus-kaydetti-41859872
30,https://covid19.saglik.gov.tr/
31,https://www.aa.com.tr/tr/koronavirus/dso-kovid-19un-kaynagi-bir-hayvan-laboratuvar-degil/1813169?_escaped_fragment_=
